C:\Documents and Settings\Korisnik\Desktop\21C01 rsponsed SDS 4E4M\21CO1 response SDS 4E4M 2.csv;30-1-21;12:06:41

Inc. Vol.;Total Volume;Time;Total Time; mV; pH
0.000;0.000; 0 ; 0 ;12.5;0.000
0.010;0.010; 60 ; 60 ;-0.5;0.000
0.010;0.020; 60 ; 120 ;-11.3;0.000
0.010;0.030; 60 ; 180 ;-10.0;0.000
0.010;0.040; 60 ; 240 ;-14.7;0.000
0.010;0.050; 60 ; 300 ;-9.4;0.000
0.010;0.060; 60 ; 360 ;-14.2;0.000
0.020;0.080; 60 ; 420 ;-17.1;0.000
0.020;0.100; 60 ; 480 ;-24.7;0.000
0.030;0.130; 60 ; 540 ;-25.1;0.000
0.050;0.180; 60 ; 600 ;-31.3;0.000
0.070;0.250; 60 ; 660 ;-37.8;0.000
0.100;0.350; 60 ; 720 ;-43.1;0.000
0.150;0.500; 60 ; 780 ;-53.8;0.000
0.200;0.700; 60 ; 840 ;-60.9;0.000
0.300;1.000; 60 ; 900 ;-65.1;0.000
0.400;1.400; 60 ; 960 ;-72.3;0.000
0.600;2.000; 60 ; 1020 ;-77.0;0.000
0.800;2.800; 60 ; 1080 ;-82.8;0.000
1.200;4.000; 60 ; 1140 ;-87.4;0.000
1.500;5.500; 60 ; 1200 ;-92.6;0.000
2.000;7.500; 60 ; 1260 ;-96.7;0.000
2.500;10.000; 60 ; 1320 ;-101.0;0.000
3.000;13.000; 60 ; 1380 ;-105.9;0.000
3.000;16.000; 60 ; 1440 ;-104.8;0.000
4.000;20.000; 60 ; 1500 ;-107.8;0.000
